time,revenue
8/19/2022,0
8/20/2022,0
8/21/2022,0
8/22/2022,810
8/23/2022,685
8/24/2022,2400
8/25/2022,4180
8/26/2022,5285
8/27/2022,0
8/28/2022,0
8/29/2022,6805
8/30/2022,8860
8/31/2022,9425
9/1/2022,7510
9/2/2022,5535
9/3/2022,0
9/4/2022,0
9/5/2022,0
9/6/2022,13445
9/7/2022,10650
9/8/2022,11610
9/9/2022,11710
9/10/2022,0
9/11/2022,0
9/12/2022,14065
9/13/2022,10375
9/14/2022,7630
9/15/2022,13350
9/16/2022,9050
9/17/2022,0
9/18/2022,0
9/19/2022,12125
9/20/2022,13585
9/21/2022,12460
9/22/2022,12540
9/23/2022,11445
9/24/2022,0
9/25/2022,0
9/26/2022,13805
9/27/2022,12565
9/28/2022,8230
9/29/2022,8455
9/30/2022,55
10/1/2022,0
10/2/2022,0
10/3/2022,11730
10/4/2022,10275
10/5/2022,7880
10/6/2022,5915
10/7/2022,6390
10/8/2022,0
10/9/2022,0
10/10/2022,10435
10/11/2022,12030
10/12/2022,7975
10/13/2022,5655
10/14/2022,6710
10/15/2022,0
10/16/2022,0
10/17/2022,8415
10/18/2022,9895
10/19/2022,6670
10/20/2022,10425
10/21/2022,7065
10/22/2022,0
10/23/2022,0
10/24/2022,5525
10/25/2022,11780
10/26/2022,7415
10/27/2022,9105
10/28/2022,5120
10/29/2022,0
10/30/2022,0
10/31/2022,5680
11/1/2022,5470
11/2/2022,8185
11/3/2022,7775
11/4/2022,3635
11/5/2022,0
11/6/2022,0
11/7/2022,6530
11/8/2022,6870
11/9/2022,4545
11/10/2022,9390
11/11/2022,4300
11/12/2022,0
11/13/2022,0
11/14/2022,5460
11/15/2022,7385
11/16/2022,7880
11/17/2022,8205
11/18/2022,6490
11/19/2022,0
11/20/2022,0
11/21/2022,6140
11/22/2022,6355
11/23/2022,745
11/24/2022,0
11/25/2022,0
11/26/2022,0
11/27/2022,0
11/28/2022,6065
11/29/2022,10080
11/30/2022,7565
12/1/2022,9385
12/2/2022,8700
12/3/2022,0
12/4/2022,0
12/5/2022,4940
12/6/2022,10190
12/7/2022,8860
12/8/2022,3315
12/9/2022,6730
12/10/2022,1010
12/11/2022,0
12/12/2022,7245
12/13/2022,5675
12/14/2022,1765
12/15/2022,130
12/16/2022,3685
12/17/2022,0
12/18/2022,0
12/19/2022,2480
12/20/2022,2730
12/21/2022,575
12/22/2022,0
12/23/2022,0
12/24/2022,0
12/25/2022,0
12/26/2022,0
12/27/2022,0
12/28/2022,0
12/29/2022,0
12/30/2022,0
12/31/2022,0
1/1/2023,0
1/2/2023,115
1/3/2023,220
1/4/2023,165
1/5/2023,120
1/6/2023,200
1/7/2023,0
1/8/2023,0
1/9/2023,0
1/10/2023,0
1/11/2023,75
1/12/2023,0
1/13/2023,0
1/14/2023,0
1/15/2023,0
1/16/2023,0
1/17/2023,715
1/18/2023,1475
1/19/2023,2475
1/20/2023,3555
1/21/2023,0
1/22/2023,0
1/23/2023,5320
1/24/2023,3825
1/25/2023,4195
1/26/2023,5870
1/27/2023,4420
1/28/2023,0
1/29/2023,0
1/30/2023,2290
1/31/2023,0
2/1/2023,0
2/2/2023,0
2/3/2023,0
2/4/2023,0
2/5/2023,0
2/6/2023,7110
2/7/2023,9115
2/8/2023,9710
2/9/2023,12880
2/10/2023,8095
2/11/2023,0
2/12/2023,0
2/13/2023,9625
2/14/2023,11245
2/15/2023,12510
2/16/2023,9880
2/17/2023,9750
2/18/2023,0
2/19/2023,0
2/20/2023,11625
2/21/2023,12225
2/22/2023,9930
2/23/2023,5580
2/24/2023,7795
2/25/2023,220
2/26/2023,0
2/27/2023,9050
2/28/2023,7920
3/1/2023,9330
3/2/2023,4860
3/3/2023,6015
3/4/2023,0
3/5/2023,0
3/6/2023,8275
3/7/2023,13975
3/8/2023,10985
3/9/2023,9670
3/10/2023,5280
3/11/2023,0
3/12/2023,0
3/13/2023,1015
3/14/2023,110
3/15/2023,0
3/16/2023,0
3/17/2023,0
3/18/2023,0
3/19/2023,0
3/20/2023,8180
3/21/2023,4320
3/22/2023,7750
3/23/2023,7130
3/24/2023,75
3/25/2023,0
3/26/2023,0
3/27/2023,7340
3/28/2023,7680
3/29/2023,8080
3/30/2023,7825
3/31/2023,4690
4/1/2023,0
4/2/2023,0
4/3/2023,6760
4/4/2023,7155
4/5/2023,6890
4/6/2023,4275
4/7/2023,5650
4/8/2023,0
4/9/2023,0
4/10/2023,8880
4/11/2023,7125
4/12/2023,7855
4/13/2023,6850
4/14/2023,4295
4/15/2023,0
4/16/2023,0
4/17/2023,6745
4/18/2023,8300
4/19/2023,7380
4/20/2023,7935
4/21/2023,6510
4/22/2023,0
4/23/2023,0
4/24/2023,1565
4/25/2023,635
4/26/2023,0
4/27/2023,0
4/28/2023,0
4/29/2023,0
4/30/2023,0
5/1/2023,8435
5/2/2023,6625
5/3/2023,8170
5/4/2023,5780
5/5/2023,205
5/6/2023,0
5/7/2023,0
5/8/2023,7740
5/9/2023,3835
5/10/2023,1975
5/11/2023,440
5/12/2023,2335
5/13/2023,0
5/14/2023,0
5/15/2023,560
5/16/2023,0
5/17/2023,185
5/18/2023,1375
5/19/2023,1270
5/20/2023,0
5/21/2023,0
5/22/2023,1380
5/23/2023,3985
5/24/2023,1140
5/25/2023,480
5/26/2023,910
5/27/2023,0
5/28/2023,0
5/29/2023,0
5/30/2023,2275
5/31/2023,4205
6/1/2023,3225
6/2/2023,2960
6/3/2023,0
6/4/2023,0
6/5/2023,7435
6/6/2023,6355
6/7/2023,3395
6/8/2023,6445
6/9/2023,1810
6/10/2023,0
6/11/2023,0
6/12/2023,4190
6/13/2023,4330
6/14/2023,1365
6/15/2023,5645
6/16/2023,1525
6/17/2023,0
6/18/2023,0
6/19/2023,0
6/20/2023,2505
6/21/2023,5410
6/22/2023,5380
6/23/2023,3725
6/24/2023,0
6/25/2023,0
6/26/2023,2625
6/27/2023,3615
6/28/2023,2145
6/29/2023,2835
6/30/2023,2065
7/1/2023,0
7/2/2023,40
7/3/2023,0
7/4/2023,0
7/5/2023,2820
7/6/2023,3570
7/7/2023,1795
7/8/2023,0
7/9/2023,0
7/10/2023,3925
7/11/2023,4520
7/12/2023,240
7/13/2023,1840
7/14/2023,1180
7/15/2023,0
7/16/2023,0
7/17/2023,3200
7/18/2023,2560
7/19/2023,4930
7/20/2023,4555
7/21/2023,2930
7/22/2023,0
7/23/2023,0
7/24/2023,4255
7/25/2023,3095
7/26/2023,3960
7/27/2023,4980
7/28/2023,2270
7/29/2023,0
7/30/2023,0
7/31/2023,2510
8/1/2023,1385
8/2/2023,2595
8/3/2023,3020
8/4/2023,665
8/5/2023,0
8/6/2023,0
8/7/2023,2435
8/8/2023,640
8/9/2023,1525
8/10/2023,1930
8/11/2023,560
8/12/2023,0
8/13/2023,0
8/14/2023,940
8/15/2023,2835
8/16/2023,2150
8/17/2023,0
8/18/2023,0
8/19/2023,0
8/20/2023,0
8/21/2023,4425
8/22/2023,6580
8/23/2023,4525
8/24/2023,2995
8/25/2023,5085
8/26/2023,0
8/27/2023,0
8/28/2023,6095
8/29/2023,11380
8/30/2023,7225
8/31/2023,11780
9/1/2023,6430
9/2/2023,0
9/3/2023,0
9/4/2023,0
9/5/2023,7885
9/6/2023,15690
9/7/2023,9905
9/8/2023,5160
9/9/2023,0
9/10/2023,0
9/11/2023,11120
9/12/2023,9290
9/13/2023,6595
9/14/2023,8240
9/15/2023,2985
9/16/2023,0
9/17/2023,0
9/18/2023,7730
9/19/2023,8310
9/20/2023,7500
9/21/2023,8150
9/22/2023,5205
9/23/2023,0
9/24/2023,0
9/25/2023,7600
9/26/2023,4375
9/27/2023,6620
9/28/2023,9110
9/29/2023,2825
9/30/2023,0
10/1/2023,0
10/2/2023,7260
10/3/2023,7305
10/4/2023,5585
10/5/2023,1075
10/6/2023,0
10/7/2023,0
10/8/2023,0
10/9/2023,4155
10/10/2023,5465
10/11/2023,8920
10/12/2023,7545
10/13/2023,4895
10/14/2023,0
10/15/2023,0
10/16/2023,3190
10/17/2023,6650
10/18/2023,3830
10/19/2023,8535
10/20/2023,5455
10/21/2023,0
10/22/2023,0
10/23/2023,4775
10/24/2023,8025
10/25/2023,7390
10/26/2023,5745
10/27/2023,4100
10/28/2023,0
10/29/2023,0
10/30/2023,4100
10/31/2023,7140
11/1/2023,7565
11/2/2023,7465
11/3/2023,5535
11/4/2023,0
11/5/2023,0
11/6/2023,5115
11/7/2023,6865
11/8/2023,5125
11/9/2023,6620
11/10/2023,2950
11/11/2023,150
11/12/2023,0
11/13/2023,5445
11/14/2023,7410
11/15/2023,8625
11/16/2023,6255
11/17/2023,4755
11/18/2023,0
11/19/2023,0
11/20/2023,4465
11/21/2023,4305
11/22/2023,1100
11/23/2023,0
11/24/2023,0
11/25/2023,0
11/26/2023,0
11/27/2023,5400
11/28/2023,4285
11/29/2023,3410
11/30/2023,6415
12/1/2023,5895
12/2/2023,0
12/3/2023,0
12/4/2023,4295
12/5/2023,3730
12/6/2023,3920
12/7/2023,7520
12/8/2023,3040
12/9/2023,100
12/10/2023,0
12/11/2023,4340
12/12/2023,5200
12/13/2023,1410
12/14/2023,0
12/15/2023,240
12/16/2023,0
12/17/2023,0
12/18/2023,0
12/19/2023,0
12/20/2023,0
12/21/2023,0
12/22/2023,0
12/23/2023,0
12/24/2023,0
12/25/2023,0
12/26/2023,0
12/27/2023,0
12/28/2023,0
12/29/2023,0
12/30/2023,0
12/31/2023,0
1/1/2024,0
1/2/2024,1230
1/3/2024,1715
1/4/2024,1630
1/5/2024,2015
1/6/2024,0
1/7/2024,0
1/8/2024,1590
1/9/2024,2525
1/10/2024,2580
1/11/2024,2125
1/12/2024,355
1/13/2024,0
1/14/2024,0
1/15/2024,0
1/16/2024,1475
1/17/2024,1825
1/18/2024,3455
1/19/2024,850
1/20/2024,0
1/21/2024,0
1/22/2024,3120
1/23/2024,3145
1/24/2024,3195
1/25/2024,3195
1/26/2024,2340
1/27/2024,0
1/28/2024,0
1/29/2024,8955
1/30/2024,6475
1/31/2024,11945
2/1/2024,9310
2/2/2024,4675
2/3/2024,0
2/4/2024,0
2/5/2024,14150
2/6/2024,9710
2/7/2024,7750
2/8/2024,12090
2/9/2024,3900
2/10/2024,0
2/11/2024,0
2/12/2024,7680
2/13/2024,8120
2/14/2024,7230
2/15/2024,4550
2/16/2024,5495
2/17/2024,0
2/18/2024,0
2/19/2024,7445
2/20/2024,8945
2/21/2024,7860
2/22/2024,9330
2/23/2024,5395
2/24/2024,0
2/25/2024,0
2/26/2024,11245
2/27/2024,6050
2/28/2024,6870
2/29/2024,8290
3/1/2024,4855
